Apellidos	Bodega	Código	Nombre del artículo	Línea	No. de parte	Unidad	Cantidad disponible	Precio	Proveedor	Detalles del artículo
0100010	01	00010	HORNO SOLDADURA BAW 4.5KG 110V	SOLDADURA		CU	1	283248	BAW	"Horno para soldadura de 120/60hz, capacidad de 4.5kg, con 3 diferentes zonas de calentamiento y aislación térmica ecológica, modelo baw, fabricado en argentina."
0100029	01	00029	FUSIBLE A30QS300-4 300A/300VCD	SOLDADURA		CU	5	100577	MACTECH	Fusible principal para equipo QZ 1500 de la marca Stresstech
0100044	01	00044	ESAB OK 22.65C E6011 1/8	SOLDADURA		KG	0	3336	ESAB	
0100054	01	00054	CONECT SENCILLO P/TERMOCOUPLE	SOLDADURA		PAQ	3	42856.9	RELIANT	
0100060	01	00060	PINON 20DP 3.13 PD 560936524	SOLDADURA		CU	0	96348	ESAB	
0100061	01	00061	RACK 2239836	SOLDADURA		CU	0	262362	ESAB	
0100062	01	00062	CLIPS DERAIL 2058467	SOLDADURA		CU	0	24809	ESAB	
0100063	01	00063	BEARING BLOCK 40030123	SOLDADURA		CU	0	63614	ESAB	
0100064	01	00064	ECCENTRIC 992020	SOLDADURA		CU	0	119254	ESAB	
0100065	01	00065	BEARING SLAVE WHEEL 992025	SOLDADURA		CU	0	47220	ESAB	
0100066	01	00066	SPRING .75 OD 2233820	SOLDADURA		CU	0	8552	ESAB	
0100067	01	00067	SHAFT 51221	SOLDADURA		CU	0	119241	ESAB	
0100068	01	00068	BEARING 51216	SOLDADURA		CU	0	56220	ESAB	
0100069	01	00069	CAM LPT FOLLOWER 50N86	SOLDADURA		CU	0	29208	ESAB	
0100070	01	00070	SPRING COMPRESSION 56996592	SOLDADURA		CU	0	12604	ESAB	
0100073	01	00073	LIMP REMOVEDOR SKC-S 300GR	SOLDADURA	01-5750-78	CU	257	10670	HIGH TECH SUPPLIES	"Limpiador Marca Magnaflux Sponchecks modelo SKS-S de 300gr, temperatura máxima de 40° a 125°F, se utiliza para eliminar el exceso de grasa y penetrantes de la zona de inspección, clasificación clase 2, Cumplimiento con las especificaciones: AMS-2644; MIL-STD-271; MIL-STD-2132; AECL; ASTM E 165; ASTM E 1417; ASME Código B&PV, Sección V; NAVSEA 250-1500-1; Boeing BAC 5423 PSD 6-46 o 8-4; General Electric P50YP107; Boeing PS-21202"
0100076	01	00076	PENETRANTE ROJO SKL-SP2 300GR	SOLDADURA	01-5155-78	CU	206	13239	HIGH TECH SUPPLIES	"Penetrante marca Magnaflux Spotcheck modelo SKL-SP2, SKL-SP2 de 300gr, debe utilizarse a temperaturas entre 40°F y 125°F, color rojo con excelentes características de penetración. Ofrece la máxima confiabilidad para localizar defectos superficiales y discontinuidades y ha sido utilizado con éxito en cerámica no porosa y otros materiales similares, clasificación: Tipo 2, Método B, C o D. Aplicaciones: Soldaduras, forjas, recipientes a presión, piezas de fundición, metales en general, pruebas de filtración, centrales eléctricas, construcción. Cumplimiento con las especificaciones: AMS-2644, AECL, ASME B & PV Code Sec V, ASTM E1417, MIL-STD 2132, ASTM E165, MIL-STD-271"
0100077	01	00077	REVELADOR SKD-S2 330GR	SOLDADURA	01-5352-78	CU	192	13290	HIGH TECH SUPPLIES	"Revelador marca Magnaflux Spotcheck modelo SKD-S2, de 330gr. Partículas blancas para revelado en un solvente de secado rápido. Produce una capa blanca opaca que proporciona un excelente fondo de contraste para las indicaciones de los penetrantes.  Forma e Tipo no acuosa 2 Tinte visible (base solvente). Cumplimiento con las especificaciones: AMS 2644, MIL-STD-271, MIL-STD-2132, AECL, ASME Código B&PV, Sección V, Boeing PS-21202, AMS 2647, ASTM E1417, ASTM E165, NAVSEA 250-1500-1, Boeing BAC 5423, PSD 6-46 o 8-4, GE P50YP107"
0100078	01	00078	POLVO NEGRO MAGNAFLUX 7C-3.63KG	SOLDADURA		CU	0	123289	HIGH TECH SUPPLIES	
0100079	01	00079	ACOND ACUOSA MAGNAFLUX WA-2B 2.27KG	SOLDADURA		CU	0	73581	HIGH TECH SUPPLIES	
0100084	01	00084	CON SET 10MT CAN 95MM 0459528972	SOLDADURA		CU	0	1079904	ESAB	
0100085	01	00085	COOLANT TORCH 50% EG 1GL	SOLDADURA	0560950312	GL	0	46487	ESAB	
0100104	01	00104	PORTAELECTRODO LENCO 500AMP	SOLDADURA	01060/AF-50	CU	0	22128	HIGH TECH SUPPLIES	Porta electrodo marca Lenco para 500amp.
0100106	01	00106	PRENSA TIERRA LATON 300-AMP	SOLDADURA	ECLNS30	CU	1	2686.25	FLORIDA POWER	Prensa tierra de latón con dientes en bronce para 300amp
0100107	01	00107	PRENSA TIERRA LATON 500-AMP	SOLDADURA	ARC-042050	CU	7	8709	HIGH TECH SUPPLIES	Prensa tierra de latón con dientes en bronce para 500amp
0100114	01	00114	RODILLO 1.2/1.4 R2 0458825002	SOLDADURA	0458825002	CU	16	22661	ESAB	
0100115	01	00115	BOQ CONTACT TIP CUCRZR W 1.2 MBX3	SOLDADURA	0468502007	CU	60	2021	ESAB	
0100117	01	00117	GUANTE ESAB HT ALUM 500C GL-145	SOLDADURA	0700005046	PAR	2	51593	ESAB	
0100118	01	00118	LENTE INT MASC ORIGO-TECH	SOLDADURA	0700000246	CU	30	1759	CRV	
